nama,berat,nilai
Jaket_1,2,11
Buku_2,10,18
Jaket_3,10,8
Buku_4,2,2
Jaket_5,2,2
Kamera_6,2,17
Jaket_7,5,16
Jaket_8,9,5
Handuk_9,10,16
Jaket_10,8,14
Jaket_11,2,4
Headphone_12,6,14
Headphone_13,8,2
Laptop_14,1,13
Kamera_15,2,8
Jaket_16,4,18
Baju_17,3,14
Botol Air_18,5,15
Jaket_19,2,15
Sepatu_20,2,2
Sepatu_21,1,3
Jaket_22,3,14
Baju_23,8,7
Headphone_24,1,6
Headphone_25,1,13
Makanan_26,8,10
Headphone_27,9,16
Botol Air_28,4,10
Jaket_29,1,19
Sepatu_30,1,11
Buku_31,1,19
Baju_32,9,17
Botol Air_33,1,17
Laptop_34,3,3
Handuk_35,2,8
Headphone_36,2,19
Jaket_37,10,20
Buku_38,10,3
Headphone_39,10,19
Sepatu_40,6,9
Jaket_41,6,8
Makanan_42,7,5
Makanan_43,8,11
Laptop_44,1,15
Handuk_45,10,4
Laptop_46,9,7
Sepatu_47,5,5
Kamera_48,2,8
Kamera_49,5,6
Baju_50,9,10
