nama_kota,x,y
Kota_1,327,453
Kota_2,57,274
Kota_3,12,384
Kota_4,379,136
Kota_5,140,393
Kota_6,125,328
Kota_7,114,174
Kota_8,71,57
Kota_9,377,150
Kota_10,52,222
Kota_11,346,80
Kota_12,379,232
Kota_13,456,1
Kota_14,279,488
Kota_15,44,369
Kota_16,302,448
Kota_17,216,368
Kota_18,16,134
Kota_19,15,497
Kota_20,47,256
Kota_21,111,390
Kota_22,119,91
Kota_23,258,259
Kota_24,308,467
Kota_25,13,54
Kota_26,287,445
Kota_27,101,320
Kota_28,366,152
Kota_29,332,430
Kota_30,359,327
Kota_31,279,259
Kota_32,214,311
Kota_33,112,101
Kota_34,229,78
Kota_35,301,191
Kota_36,142,390
Kota_37,414,82
Kota_38,445,276
Kota_39,3,488
Kota_40,388,398
Kota_41,412,472
Kota_42,81,271
Kota_43,357,470
Kota_44,216,0
Kota_45,174,306
Kota_46,142,165
Kota_47,79,250
Kota_48,110,9
Kota_49,490,57
Kota_50,390,475
Kota_51,172,185
Kota_52,52,449
Kota_53,47,425
Kota_54,194,413
Kota_55,49,157
Kota_56,183,122
Kota_57,433,29
Kota_58,176,123
Kota_59,309,449
Kota_60,135,290
Kota_61,413,484
Kota_62,22,40
Kota_63,373,43
Kota_64,235,374
Kota_65,274,248
Kota_66,63,417
Kota_67,498,35
Kota_68,472,500
Kota_69,193,389
Kota_70,40,272
Kota_71,282,392
Kota_72,150,64
Kota_73,424,65
Kota_74,321,337
Kota_75,316,243
Kota_76,453,484
Kota_77,441,281
Kota_78,185,84
Kota_79,295,135
Kota_80,98,270
Kota_81,360,446
Kota_82,35,310
Kota_83,23,216
Kota_84,338,493
Kota_85,116,108
Kota_86,395,475
Kota_87,148,276
Kota_88,40,386
Kota_89,437,373
Kota_90,119,353
Kota_91,443,102
Kota_92,51,365
Kota_93,194,159
Kota_94,142,204
Kota_95,232,343
Kota_96,325,332
Kota_97,427,191
Kota_98,186,224
Kota_99,83,460
Kota_100,189,264
Kota_101,181,231
Kota_102,107,61
Kota_103,343,126
Kota_104,136,115
Kota_105,359,32
Kota_106,479,173
Kota_107,349,10
Kota_108,331,301
Kota_109,36,283
Kota_110,311,117
Kota_111,325,301
Kota_112,87,112
Kota_113,273,3
Kota_114,373,36
Kota_115,125,362
Kota_116,83,323
Kota_117,236,30
Kota_118,194,117
Kota_119,138,34
Kota_120,473,463
Kota_121,327,16
Kota_122,352,440
Kota_123,285,169
Kota_124,112,36
Kota_125,350,263
Kota_126,166,121
Kota_127,431,142
Kota_128,393,342
Kota_129,397,248
Kota_130,28,109
Kota_131,117,276
Kota_132,420,67
Kota_133,16,370
Kota_134,412,478
Kota_135,161,451
Kota_136,205,292
Kota_137,137,295
Kota_138,33,242
Kota_139,108,124
Kota_140,467,401
Kota_141,482,242
Kota_142,290,413
Kota_143,448,208
Kota_144,367,97
Kota_145,161,48
Kota_146,108,49
Kota_147,335,337
Kota_148,255,220
Kota_149,202,181
Kota_150,452,216
Kota_151,468,210
Kota_152,329,239
Kota_153,234,442
Kota_154,73,373
Kota_155,135,27
Kota_156,71,344
Kota_157,126,334
Kota_158,381,330
Kota_159,287,50
Kota_160,275,31
Kota_161,134,206
Kota_162,382,372
Kota_163,299,173
Kota_164,219,409
Kota_165,459,441
Kota_166,298,55
Kota_167,204,127
Kota_168,185,98
Kota_169,112,97
Kota_170,70,274
Kota_171,260,229
Kota_172,252,71
Kota_173,46,216
Kota_174,386,93
Kota_175,24,142
Kota_176,440,236
Kota_177,56,127
Kota_178,78,447
Kota_179,321,472
Kota_180,81,38
Kota_181,405,226
Kota_182,348,413
Kota_183,216,441
Kota_184,305,438
Kota_185,32,281
Kota_186,197,50
Kota_187,195,25
Kota_188,305,333
Kota_189,239,276
Kota_190,270,428
Kota_191,128,7
Kota_192,497,496
Kota_193,283,47
Kota_194,440,474
Kota_195,482,385
Kota_196,5,434
Kota_197,348,121
Kota_198,369,85
Kota_199,58,208
Kota_200,349,248
