Nama Proyek,Biaya,Profit
Proyek 1,4,5
Proyek 2,9,13
Proyek 3,8,11
Proyek 4,4,13
Proyek 5,3,13
Proyek 6,14,15
Proyek 7,1,3
Proyek 8,7,11
Proyek 9,17,27
Proyek 10,1,10
Proyek 11,7,16
Proyek 12,14,18
Proyek 13,15,25
Proyek 14,9,10
Proyek 15,6,13
Proyek 16,11,16
Proyek 17,5,9
Proyek 18,11,13
Proyek 19,3,10
Proyek 20,4,10
Proyek 21,12,22
Proyek 22,9,10
Proyek 23,15,24
Proyek 24,4,11
Proyek 25,3,12
Proyek 26,10,20
Proyek 27,12,22
Proyek 28,7,9
Proyek 29,2,6
Proyek 30,10,12
Proyek 31,8,10
Proyek 32,13,18
Proyek 33,15,21
Proyek 34,6,12
Proyek 35,12,16
Proyek 36,9,11
Proyek 37,20,23
Proyek 38,18,22
Proyek 39,6,14
Proyek 40,13,18
Proyek 41,18,22
Proyek 42,11,12
Proyek 43,8,9
Proyek 44,11,18
Proyek 45,9,11
Proyek 46,7,17
Proyek 47,11,15
Proyek 48,16,23
Proyek 49,15,18
Proyek 50,9,12
Proyek 51,8,17
Proyek 52,18,23
Proyek 53,19,26
Proyek 54,19,26
Proyek 55,12,16
Proyek 56,5,14
Proyek 57,16,18
Proyek 58,2,4
Proyek 59,5,8
Proyek 60,14,24
Proyek 61,3,10
Proyek 62,13,23
Proyek 63,15,24
Proyek 64,9,18
Proyek 65,1,3
Proyek 66,18,23
Proyek 67,11,13
Proyek 68,10,17
Proyek 69,6,14
Proyek 70,1,6
Proyek 71,17,20
Proyek 72,17,19
Proyek 73,10,19
Proyek 74,20,24
Proyek 75,5,11
Proyek 76,6,15
Proyek 77,17,18
Proyek 78,20,26
Proyek 79,16,17
Proyek 80,4,10
Proyek 81,10,14
Proyek 82,2,6
Proyek 83,19,21
Proyek 84,3,11
Proyek 85,3,12
Proyek 86,5,8
Proyek 87,16,25
Proyek 88,6,11
Proyek 89,17,27
Proyek 90,14,18
Proyek 91,18,22
Proyek 92,10,17
Proyek 93,12,20
Proyek 94,17,25
Proyek 95,4,8
Proyek 96,8,10
Proyek 97,11,12
Proyek 98,19,28
Proyek 99,8,18
Proyek 100,8,9
Proyek 101,3,4
Proyek 102,8,10
Proyek 103,2,8
Proyek 104,3,12
Proyek 105,8,13
Proyek 106,16,20
Proyek 107,18,21
Proyek 108,19,29
Proyek 109,16,20
Proyek 110,16,23
Proyek 111,7,9
Proyek 112,4,11
Proyek 113,12,19
Proyek 114,14,22
Proyek 115,2,4
Proyek 116,2,9
Proyek 117,11,13
Proyek 118,8,12
Proyek 119,7,16
